,OrderNumber,UseType,FacilityID,FacilityLongitude,FacilityLatitude,CustomerZIP,TotalPaid,StartDate,EndDate,NumberOfPeople,Tent,Popup,Trailer,RVMotorhome,Boat,Car,FifthWheel,Van,CanoeKayak,BoatTrailer,PowerBoat,PickupCamper,LargeTentOver9x12,SmallTent,CustomerLatitude,CustomerLongitude,LengthOfStay
17,1-4861418,Overnight,234038,-103.304,29.275,79734,69.0,2007-03-07,2007-03-08,20,,,,,,1.0,,,,,,,,,30.8,-103.9,1
18,1-4899443,Overnight,234059,-109.589,38.7769,84124,75.0,2007-05-11,2007-05-13,11,,,,,,1.0,,,,,,,,,40.68,-111.79,2
19,1-4911251,Overnight,234038,-103.304,29.275,70055,135.0,2007-03-25,2007-03-28,14,1.0,,,,,,,,,,,,,,,,3
20,1-4911254,Overnight,234038,-103.304,29.275,70055,171.0,2007-03-25,2007-03-28,18,1.0,,,,,,,,,,,,,,,,3
21,1-4911264,Overnight,234038,-103.304,29.275,70055,144.0,2007-03-25,2007-03-28,15,1.0,,,,,,,,,,,,,,,,3
22,1-4911269,Overnight,234038,-103.304,29.275,70055,99.0,2007-03-25,2007-03-28,10,1.0,,,,,,,,,,,,,,,,3
23,1-4911311,Overnight,234038,-103.304,29.275,70055,189.0,2007-03-24,2007-03-29,12,,,,,,1.0,,,,,,,,,,,5
24,1-4911322,Overnight,234038,-103.304,29.275,70055,189.0,2007-03-24,2007-03-29,12,,,,,,1.0,,,,,,,,,,,5
25,1-4911327,Overnight,234038,-103.304,29.275,70055,189.0,2007-03-24,2007-03-29,12,,,,,,1.0,,,,,,,,,,,5
26,1-4938896,Overnight,234059,-109.589,38.7769,80302,240.0,2007-03-24,2007-03-31,11,,,,,,1.0,,,,,,,,,40.1,-105.4,7
27,1-4940493,Overnight,234059,-109.589,38.7769,80917,174.0,2007-05-06,2007-05-11,11,1.0,,,,,,,,,,,,,,38.89,-104.75,5
28,1-4972117,Overnight,234177,-122.351,44.5858,97377,110.0,2007-05-25,2007-05-28,50,,,,,,1.0,,,,,,,,,44.5,-123.1,3
29,1-4974724,Overnight,234038,-103.304,29.275,78757,249.0,2007-04-09,2007-04-13,20,,,,,,1.0,,,,,,,,,30.35,-97.73,4
30,1-4974737,Overnight,234038,-103.304,29.275,78757,249.0,2007-04-09,2007-04-13,20,,,,,,1.0,,,,,,,,,30.35,-97.73,4
31,1-4974747,Overnight,234038,-103.304,29.275,78757,129.0,2007-04-09,2007-04-13,10,,,,,,1.0,,,,,,,,,30.35,-97.73,4
32,1-4980438,Overnight,234059,-109.589,38.7769,80210,108.0,2007-05-25,2007-05-28,11,,,,,,1.0,,,,,,,,,39.68,-104.96,3
33,1-4985327,Overnight,234043,-92.5569,36.0731,72227,108.0,2007-05-25,2007-05-28,10,1.0,,,,,1.0,,,,,,,,,34.78,-92.37,3
34,1-4985338,Overnight,234043,-92.5569,36.0731,72227,108.0,2007-05-25,2007-05-28,10,1.0,,,,,1.0,,,,,,,,,34.78,-92.37,3
35,1-4985341,Overnight,234043,-92.5569,36.0731,72227,108.0,2007-05-25,2007-05-28,10,1.0,,,,,1.0,,,,,,,,,34.78,-92.37,3
36,1-4999174,Overnight,234050,-96.9675,34.505,77039,19.0,2007-05-26,2007-05-29,30,1.0,,,,,,,,,,,,,,29.91,-95.34,3
37,1-5040807,Overnight,234079,-112.167,37.6344,94710,19.0,2007-06-06,2007-06-08,29,,,,,,1.0,,,,,,,,,37.87,-122.31,2
38,1-5060824,Overnight,234038,-103.304,29.275,79110,234.0,2007-03-18,2007-03-23,15,,,,,,1.0,,,,,,,,,35.15,-101.87,5
39,1-5069090,Overnight,234035,-102.961,29.1825,78239,69.0,2007-02-10,2007-02-16,2,,,,,,1.0,,,,,,,,,29.52,-98.36,6
40,1-5072815,Overnight,234043,-92.5569,36.0731,72802,75.0,2007-06-01,2007-06-03,10,,,,,,1.0,,,,,,,,,35.3,-93.1,2
41,1-5072839,Overnight,234043,-92.5569,36.0731,72802,75.0,2007-06-01,2007-06-03,10,,,,,,1.0,,,,,,,,,35.3,-93.1,2
42,1-5082806,Overnight,234079,-112.167,37.6344,94710,201.0,2007-06-14,2007-06-16,29,,,,,,1.0,,,,,,,,,37.87,-122.31,2
43,1-5090062,Overnight,234035,-102.961,29.1825,14580,44.0,2007-02-13,2007-02-20,2,,,,,,1.0,,,,,,,,,43.22,-77.45,7
44,1-5090893,Overnight,234057,-107.172,38.4856,81004,359.0,2007-06-15,2007-06-22,30,,,1.0,,,1.0,1.0,,,,,,,,38.1,-104.7,7
45,1-5092236,Overnight,234050,-96.9675,34.505,74753,129.0,2007-06-14,2007-06-19,30,1.0,,,,,1.0,,,,,,,,,33.906,-96.537,5
46,1-5121359,Overnight,234038,-103.304,29.275,79734,19.0,2007-03-20,2007-03-21,20,,,,,,1.0,,,,,,,,,30.8,-103.9,1
47,1-5137738,Overnight,234057,-107.172,38.4856,80540,109.0,2007-06-22,2007-06-24,4,,,,,,1.0,,,,,,,,,40.2,-105.4,2
